application_date,completed_date,postal,status,completed_month_year
2009-05-07,2010-10-05,M4K,Closed,Oct 2010
2009-05-11,2011-01-14,M4J,Closed,Jan 2011
2009-06-11,2010-03-03,M4M,Closed,Mar 2010
2009-06-11,2011-02-15,M4K,Cancelled,Feb 2011
2009-06-19,2010-07-14,M4M,Closed,Jul 2010
2009-08-04,2017-11-17,M4L,Cancelled,Nov 2017
2009-08-04,2010-10-05,M4K,Closed,Oct 2010
2009-08-20,2010-05-21,M4E,Closed,May 2010
2009-08-31,2010-08-16,M4L,Closed,Aug 2010
2009-09-09,2012-07-23,M4L,Closed,Jul 2012
2009-09-09,2014-10-28,M2M,Closed,Oct 2014
2009-10-02,2010-01-29,M4L,Closed,Jan 2010
2009-10-27,2010-05-26,M6B,Closed,May 2010
2009-10-27,2010-05-13,M4M,Closed,May 2010
2009-11-03,2010-03-24,M4K,Closed,Mar 2010
2009-11-03,2011-03-16,M4J,Closed,Mar 2011
2009-11-04,2010-09-21,M4K,Closed,Sep 2010
2009-11-04,2010-05-06,M4M,Closed,May 2010
2009-11-09,2021-08-25,M4P,Closed,Aug 2021
2009-11-09,2010-10-06,M4E,Closed,Oct 2010
2009-11-10,2010-09-30,M1M,Closed,Sep 2010
2009-11-10,2011-03-23,M4L,Closed,Mar 2011
2009-11-10,2012-03-20,M4J,Closed,Mar 2012
2009-11-10,2010-08-10,M8W,Closed,Aug 2010
2009-11-10,2010-04-09,M4K,Closed,Apr 2010
2009-11-13,2021-07-29,M4C,Closed,Jul 2021
2009-11-13,2010-02-02,M4M,Closed,Feb 2010
2009-11-17,2010-11-10,M4L,Closed,Nov 2010
2009-11-17,2010-09-22,M4M,Closed,Sep 2010
2009-11-17,2010-04-20,M4J,Closed,Apr 2010
2009-11-20,2010-04-16,M4B,Closed,Apr 2010
2009-11-20,2010-03-11,M4C,Closed,Mar 2010
2009-11-20,2010-09-22,M4J,Closed,Sep 2010
2009-11-23,2010-05-20,M4M,Closed,May 2010
2009-11-23,2010-05-20,M4M,Closed,May 2010
2009-11-23,2010-04-09,M4L,Closed,Apr 2010
2009-11-25,2010-04-29,M4J,Closed,Apr 2010
2009-11-26,2010-05-05,M4C,Closed,May 2010
2009-11-26,2013-03-11,M1V,Closed,Mar 2013
2009-11-26,2010-05-10,M4K,Closed,May 2010
2009-12-01,2010-01-20,M4W,Closed,Jan 2010
2009-12-01,2010-07-29,M4K,Closed,Jul 2010
2009-12-01,2011-07-26,M4L,Closed,Jul 2011
2009-12-01,2010-07-29,M4E,Closed,Jul 2010
2009-12-02,2010-02-03,M4J,Closed,Feb 2010
2009-12-02,2010-01-29,M4M,Closed,Jan 2010
2009-12-04,2011-01-26,M4C,Closed,Jan 2011
2009-12-04,2010-07-20,M4E,Closed,Jul 2010
2009-12-04,2010-08-13,M4J,Closed,Aug 2010
2009-12-07,2010-07-20,M4L,Closed,Jul 2010
2009-12-11,2010-06-09,M4J,Closed,Jun 2010
2009-12-11,2010-05-28,M4J,Closed,May 2010
2009-12-11,2010-05-06,M4M,Closed,May 2010
2009-12-11,2010-11-19,NA,Closed,Nov 2010
2009-12-11,2010-06-04,M4M,Closed,Jun 2010
2009-12-11,2010-09-21,M4J,Closed,Sep 2010
2009-12-11,2010-07-19,M4M,Closed,Jul 2010
2009-12-14,2010-10-20,M1L,Closed,Oct 2010
2009-12-14,2010-09-17,M4A,Closed,Sep 2010
2009-12-17,2010-06-01,M4K,Closed,Jun 2010
2009-12-17,2010-09-15,M4M,Closed,Sep 2010
2009-12-17,2010-04-20,M4J,Closed,Apr 2010
2009-12-17,2011-04-12,M4J,Closed,Apr 2011
2009-12-17,2010-07-02,M4L,Closed,Jul 2010
2009-12-21,2010-09-22,M4K,Closed,Sep 2010
2010-01-04,2018-05-25,M4M,Cancelled,May 2018
2010-01-06,2010-09-30,M4M,Closed,Sep 2010
2010-02-25,2016-12-01,M1V,Cancelled,Dec 2016
2010-03-02,2010-10-05,M4K,Closed,Oct 2010
2010-05-19,2010-10-28,M4K,Closed,Oct 2010
2010-05-19,2010-08-13,M4C,Closed,Aug 2010
2010-07-07,2010-10-22,M6K,Closed,Oct 2010
2010-07-22,2010-09-03,M5M,Closed,Sep 2010
2010-07-30,2021-05-05,M4S,Closed,May 2021
2010-07-30,2015-07-23,M4K,Cancelled,Jul 2015
2010-09-29,2019-03-29,M1S,Cancelled,Mar 2019
2010-10-28,2011-07-12,M4L,Closed,Jul 2011
2010-10-28,2011-07-12,M4L,Closed,Jul 2011
2010-10-28,2011-07-06,M4C,Closed,Jul 2011
2010-11-03,2011-04-19,M4L,Closed,Apr 2011
2010-11-04,2011-04-19,M4L,Closed,Apr 2011
2010-11-04,2011-07-12,M4C,Closed,Jul 2011
2010-11-04,2011-07-13,M4E,Closed,Jul 2011
2010-11-04,2011-07-12,M4C,Closed,Jul 2011
2010-11-04,2011-02-02,M4E,Closed,Feb 2011
2010-11-04,2011-02-09,M4E,Closed,Feb 2011
2010-11-04,2013-03-21,M4E,Cancelled,Mar 2013
