_id,APPLICATION_DATE,COMPLETED_DATE,DESCRIPTION,ISSUED_DATE,PERMIT_NUM,PERMIT_TYPE,POSTAL,REVISION_NUM,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,STRUCTURE_TYPE,WORK
23432,2009-05-07,2010-10-05,installation of solar hot water heating (supplemantary) system complete with dual panel (5m2) solar collector on roof projecting 1.2m above roof line.  ,2009-05-11,09 135007,Small Residential Projects,M4K,00,Closed, ,GRANDVIEW,4,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23433,2009-05-07,NA,Installation of a roof top solar water heating system with connection to potable water heating system ,2009-05-11,09 135023,Small Residential Projects,M4M,00,Inspection, ,JONES,81,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23434,2009-05-11,2011-01-14,Proposal to install a dual collector solar panel on the roof of existing SFD.  South Elevation.,2009-05-20,09 136204,Small Residential Projects,M4J,00,Closed, ,BOULTBEE,114,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23435,2009-06-11,2010-03-03,Permit for installation of 2 solar collectors (certified model number 09-148270-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-08-17,09 148320,Small Residential Projects,M4M,00,Closed,E,GERRARD,899,ST,Converted House,Solar Domestic Hot Water (Res)
23436,2009-06-11,NA,Permit for installation of 2 solar collectors for solar hot water heating system. (09 148268 CE)Refer to related plumbing application for connection to potable water heating system. ,2009-08-17,09 148341,Small Residential Projects,M4M,00,Permit Issued, ,LOGAN,201,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23437,2009-06-11,2011-02-15,Permit for installation of 2 solar collectors (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-08-17,09 148351,Small Residential Projects,M4K,00,Cancelled, ,BROWNING,5,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23438,2009-06-19,2010-07-14,Permit for installation of 2 solar collectors on roof of existing building for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-02-03,09 152120,Small Residential Projects,M4M,00,Closed, ,LESLIE,271,ST,SFD - Detached,Solar Domestic Hot Water (Res)
23439,2009-08-04,NA,"Installation of 2 solar collectors in the rear yard (accessory building) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.
",2009-11-18,09 153159,Small Residential Projects,M4M,00,Inspection, ,BRIGHTON,11,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23440,2009-08-04,NA,"Permit for installation of 2 solar collectors (certified model number 09-148269-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.
",2009-08-17,09 153172,Small Residential Projects,M9B,00,Permit Issued, ,GREENFIELD,69,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23441,2009-08-04,2017-11-17,Permit for installation of 2 solar collectors (certified model number 09-148269-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-08-17,09 153185,Small Residential Projects,M4L,00,Cancelled, ,SANDFORD,11,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23442,2009-08-04,2010-10-05,Permit for installation of 2 solar collectors (certified model number 09-148269-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-08-17,09 153191,Small Residential Projects,M4K,00,Closed, ,BROADVIEW,511,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23443,2009-08-08,NA,Permit for installation of 2 solar collectors on the roof of the existing detached dwelling (certified model (08-148271) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-08-12,09 155040,Small Residential Projects,M6C,00,Inspection, ,HUMEWOOD,8,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23444,2009-08-20,2010-05-21,"Permit for installation of 2 solar collectors on roof of existing detached dwelling  (certified model 08-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.
",2009-09-21,09 160244,Small Residential Projects,M4E,00,Closed, ,KIMBERLEY,24,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23445,2009-08-31,NA,Permit for installation of 2 solar collectors on roof of existing detached dwelling  (certified model 08-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-09-22,09 163859,Small Residential Projects,M4W,00,Work Not Started, ,EDGEWOOD,14,CRES,SFD - Detached,Solar Domestic Hot Water (Res)
23446,2009-08-31,2010-08-16,Permit for installation of 2 solar collectors on roof of existing detached dwelling  (certified model 09186269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-12-03,09 163896,Small Residential Projects,M4L,00,Closed, ,HASTINGS,15,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23447,2009-08-31,NA,Permit for installation of 2 solar collectors on roof of existing detached dwelling  (certified model 08-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.existing SFD-detached dwelling.,2009-09-22,09 163937,Small Residential Projects,M2N,00,Permit Issued, ,PARKVIEW,373,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23448,2009-08-31,NA,"Permit for installation of 2 solar collectors on roof of existing detached dwelling  (certified model 08-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. (2 solar collectors, 1 60 gallon tank and energy pack)",2009-09-22,09 163962,Small Residential Projects,M3B,00,Permit Issued, ,GREENGATE,39,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23449,2009-09-09,2012-07-23,"Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.
",2009-09-22,09 166795,Small Residential Projects,M4L,00,Closed, ,GLENMORE,132,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23450,2009-09-09,NA,Permit for installation of 2 solar collectors on rear south facing portion of building (certified model 08-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-09-22,09 166819,Small Residential Projects,M4K,00,Permit Issued, ,FULTON,145,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23451,2009-09-09,2014-10-28,Permit for installation of 2 solar collectors on roof of south elevation of existing dwelling (certified model 08-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable hot water system.,2009-09-22,09 166933,Small Residential Projects,M2M,00,Closed, ,GOULDING,143,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23452,2009-09-09,NA,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-09-22,09 166946,Small Residential Projects,M6S,00,Permit Issued, ,LAVINIA,65,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23453,2009-10-02,2010-01-29,Permit for installation of a solar hot water heating system and connection to potable water heating system (per Certified Plan 09-181272),2009-10-27,09 175330,Small Residential Projects,M4L,00,Closed, ,HIAWATHA,94,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23454,2009-10-23,NA,Permit for installation of solar collector system (greensaver) (certified model number 09-148271-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-05,09 181911,Small Residential Projects,M6H,00,Inspection, ,HAVELOCK,261,ST,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23455,2009-10-27,NA,Permit for installation of solar collector system (greensaver) (certified model number 09-148271-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-05,09 182935,Small Residential Projects,M6H,00,Permit Issued, ,ASHBURNHAM,60,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23456,2009-10-27,NA,Permit for installation of solar collector system (greensaver) (certified model number 09-148271-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-05,09 182940,Small Residential Projects,M6G,00,Permit Issued, ,YARMOUTH,63,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23457,2009-10-27,2010-05-26,Permit for installation of solar collector system (greensaver) (certified model number 09-148271-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-05,09 182944,Small Residential Projects,M6B,00,Closed, ,ELM RIDGE,52,DR,SFD - Detached,Solar Domestic Hot Water (Res)
