application_date,completed_date,postal,status
2010-11-17,2013-03-21,M4E,Cancelled
2009-12-11,2010-05-28,M4J,Closed
2010-10-28,2011-07-06,M4C,Closed
2009-10-02,2010-01-29,M4L,Closed
2011-09-16,2012-05-04,M4L,Closed
2009-05-07,2010-10-05,M4K,Closed
2022-06-02,2024-06-04,M4J,Closed
2010-11-17,2011-04-19,M4L,Closed
2010-11-04,2011-02-09,M4E,Closed
2010-11-17,2011-07-12,M4C,Closed
2010-02-25,2016-12-01,M1V,Cancelled
2010-12-02,2011-07-13,M4C,Closed
2010-11-17,2011-07-12,M4L,Closed
2009-08-31,2010-08-16,M4L,Closed
2010-09-29,2019-03-29,M1S,Cancelled
2009-12-17,2010-04-20,M4J,Closed
2009-08-04,2010-10-05,M4K,Closed
2009-11-26,2010-05-10,M4K,Closed
2009-11-09,2021-08-25,M4P,Closed
2009-12-17,2011-04-12,M4J,Closed
2010-05-19,2010-10-28,M4K,Closed
2012-10-15,2015-02-09,M1M,Closed
2010-01-04,2018-05-25,M4M,Cancelled
2010-11-04,2011-02-02,M4E,Closed
2009-11-13,2021-07-29,M4C,Closed
2023-03-30,2024-09-17,M6S,Closed
2011-12-15,2015-11-17,M1C,Cancelled
2010-07-30,2021-05-05,M4S,Closed
2010-11-17,2011-02-10,M4L,Closed
2010-11-17,2011-07-13,M4L,Closed
2009-08-20,2010-05-21,M4E,Closed
2015-05-29,2021-11-25,M5R,Closed
2009-12-11,2010-05-06,M4M,Closed
2011-06-03,2012-01-03,M6G,Closed
2009-12-04,2010-07-20,M4E,Closed
2009-11-10,2011-03-23,M4L,Closed
2020-08-28,2020-10-09,M8V,Closed
2011-08-26,2011-09-13,M4J,Closed
2010-12-01,2011-07-13,M4J,Closed
2023-08-29,2023-11-29,M5M,Closed
2010-11-17,2011-02-09,M4E,Closed
2009-08-04,2017-11-17,M4L,Cancelled
2009-09-09,2012-07-23,M4L,Closed
2023-03-16,2024-03-11,M6B,Closed
2009-11-13,2010-02-02,M4M,Closed
2009-11-20,2010-04-16,M4B,Closed
2009-11-10,2010-04-09,M4K,Closed
2010-12-02,2021-11-01,M4C,Closed
2009-12-11,2010-11-19,NA,Closed
2010-05-19,2010-08-13,M4C,Closed
2009-11-20,2010-09-22,M4J,Closed
2009-06-11,2011-02-15,M4K,Cancelled
2011-09-27,2013-03-01,M1R,Closed
2009-06-11,2010-03-03,M4M,Closed
2009-12-07,2010-07-20,M4L,Closed
2009-11-04,2010-09-21,M4K,Closed
2016-05-30,2019-04-01,M1B,Cancelled
2010-11-04,2011-07-13,M4E,Closed
2009-11-03,2010-03-24,M4K,Closed
2010-11-17,2011-02-09,M4E,Closed
2009-12-04,2011-01-26,M4C,Closed
2009-09-09,2014-10-28,M2M,Closed
2023-07-27,2024-04-10,M2J,Closed
2010-11-17,2011-04-19,M4L,Closed
2011-08-26,2011-09-13,M4J,Closed
2011-01-10,2011-05-03,M4A,Closed
2011-08-11,2013-03-18,M1W,Closed
2009-11-23,2010-04-09,M4L,Closed
2010-03-02,2010-10-05,M4K,Closed
2010-11-17,2011-05-04,M4L,Closed
2009-12-01,2010-07-29,M4E,Closed
2010-07-30,2015-07-23,M4K,Cancelled
2010-10-28,2011-07-12,M4L,Closed
2010-12-01,2011-07-13,M4C,Closed
2009-12-11,2010-07-19,M4M,Closed
2011-02-15,2011-02-25,M4L,Closed
2010-11-04,2011-06-28,M4C,Closed
2011-10-31,2011-11-17,M1C,Closed
2009-10-27,2010-05-13,M4M,Closed
2010-11-17,2011-04-19,M4L,Closed
2009-12-21,2010-09-22,M4K,Closed
2009-12-02,2010-02-03,M4J,Closed
2009-12-11,2010-06-09,M4J,Closed
2009-11-10,2010-09-30,M1M,Closed
2009-12-04,2010-08-13,M4J,Closed
2010-11-04,2011-02-02,M4E,Closed
2010-11-04,2013-03-21,M4E,Cancelled
2009-10-27,2010-05-26,M6B,Closed
2009-12-17,2010-07-02,M4L,Closed
2016-07-15,2016-07-22,M1M,Cancelled
2012-06-19,2019-10-01,M4N,Cancelled
2010-11-17,2011-02-10,M4L,Closed
2009-12-11,2010-06-04,M4M,Closed
